customer_id,current_month,churn_risk_inputs,revenue_quality_inputs,account_fragility_inputs,forward_risk_flags
CUST000001,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 40.74, ""trailing_3m_payment_delay_avg"": 15.333, ""trailing_3m_support_ticket_avg"": 5.0, ""trailing_3m_usage_trend"": 12.04}","{""avg_discount_pct"": 0.25253537208569915, ""current_mrr"": 7715.83, ""discount_dependency_flag"": 1, ""realized_price_index"": 0.7474646279143009, ""revenue_quality_flag"": ""fragile""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.00081, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0833, ""renewal_risk_proxy"": 0.05036219601224274, ""seat_growth_rate"": 0.0758}","[""discount_dependency""]"
CUST000002,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 11.327, ""trailing_3m_payment_delay_avg"": 12.667, ""trailing_3m_support_ticket_avg"": 1.667, ""trailing_3m_usage_trend"": -0.11}","{""avg_discount_pct"": 0.3244979919678715, ""current_mrr"": 809.25, ""discount_dependency_flag"": 1, ""realized_price_index"": 0.6755020080321285, ""revenue_quality_flag"": ""fragile""}","{""churn_history_flag"": 0, ""concentration_weight"": 8.5e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.048142570281124494, ""seat_growth_rate"": 0.0}","[""discount_dependency""]"
CUST000003,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 52.553, ""trailing_3m_payment_delay_avg"": 21.333, ""trailing_3m_support_ticket_avg"": 1.333, ""trailing_3m_usage_trend"": 5.27}","{""avg_discount_pct"": 0.28758351524773434, ""current_mrr"": 755.85, ""discount_dependency_flag"": 1, ""realized_price_index"": 0.7124032546140108, ""revenue_quality_flag"": ""fragile""}","{""churn_history_flag"": 0, ""concentration_weight"": 7.9e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.4228690736068192, ""seat_growth_rate"": 0.0}","[""payment_delay_stress"", ""discount_dependency""]"
CUST000004,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 7.37, ""trailing_3m_payment_delay_avg"": 15.0, ""trailing_3m_support_ticket_avg"": 3.0, ""trailing_3m_usage_trend"": 10.145}","{""avg_discount_pct"": 0.16031193671139596, ""current_mrr"": 798.88, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8396755457640697, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 8.4e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.0325, ""seat_growth_rate"": 0.0625}","[""low_nps""]"
CUST000005,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": -1.095, ""trailing_3m_payment_delay_avg"": 22.0, ""trailing_3m_support_ticket_avg"": 1.0, ""trailing_3m_usage_trend"": 20.4}","{""avg_discount_pct"": 0.14953007518796993, ""current_mrr"": 851.2, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.85046992481203, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 8.9e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.0625, ""seat_growth_rate"": 0.0}","[""low_nps"", ""payment_delay_stress""]"
CUST000006,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 78.79, ""trailing_3m_payment_delay_avg"": 11.333, ""trailing_3m_support_ticket_avg"": 0.333, ""trailing_3m_usage_trend"": 1.2}","{""avg_discount_pct"": 0.1063389414448317, ""current_mrr"": 3454.52, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8936581637969964, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000363, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.024999999999999998, ""seat_growth_rate"": 0.0}",[]
CUST000007,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 20.597, ""trailing_3m_payment_delay_avg"": 15.333, ""trailing_3m_support_ticket_avg"": 2.0, ""trailing_3m_usage_trend"": -0.95}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0}",[]
CUST000008,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 1, ""trailing_3m_nps_avg"": 65.827, ""trailing_3m_payment_delay_avg"": 4.0, ""trailing_3m_support_ticket_avg"": 2.0, ""trailing_3m_usage_trend"": -0.345}","{""avg_discount_pct"": 0.16728473913217037, ""current_mrr"": 5010.2, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8327152608678297, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 0.000526, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.3675, ""seat_growth_rate"": 0.0}",[]
CUST000009,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": 37.197, ""trailing_3m_payment_delay_avg"": 15.0, ""trailing_3m_support_ticket_avg"": 1.333, ""trailing_3m_usage_trend"": 12.145}","{""avg_discount_pct"": 0.18845401174168297, ""current_mrr"": 613.2, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.8115459882583169, ""revenue_quality_flag"": ""watch""}","{""churn_history_flag"": 0, ""concentration_weight"": 6.4e-05, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.04370771596309756, ""seat_growth_rate"": 0.0}",[]
CUST000010,2026-02-01,"{""contraction_frequency"": 0.0, ""renewal_due_flag"": 0, ""trailing_3m_nps_avg"": -19.337, ""trailing_3m_payment_delay_avg"": 18.333, ""trailing_3m_support_ticket_avg"": 3.333, ""trailing_3m_usage_trend"": 1.84}","{""avg_discount_pct"": 0.0, ""current_mrr"": 0.0, ""discount_dependency_flag"": 0, ""realized_price_index"": 0.0, ""revenue_quality_flag"": ""inactive""}","{""churn_history_flag"": 1, ""concentration_weight"": 0.0, ""contraction_frequency"": 0.0, ""expansion_frequency"": 0.0, ""renewal_risk_proxy"": 0.21363636363636365, ""seat_growth_rate"": 0.0909}","[""low_nps"", ""discount_dependency""]"
