customer_id,segment,region,industry,acquisition_channel,account_manager_id,current_mrr,concentration_weight,renewal_due_flag,churn_risk_score,churn_risk_tier,churn_risk_main_driver,revenue_quality_score,revenue_quality_risk_tier,revenue_quality_main_driver,discount_dependency_score,discount_dependency_tier,discount_dependency_main_driver,expansion_quality_score,expansion_quality_risk_tier,expansion_quality_main_driver,governance_priority_score,governance_priority_tier,governance_main_driver,recommended_action,recommended_action_reason
CUST004130,Enterprise,North America,Logistics,enterprise_sales,AM0008,33422.9,0.003509,1,61.13,High,Sentiment/support deterioration,19.453,Critical,Weak realized pricing,100.0,Critical,High discount level,17.8,Critical,Low healthy expansion mix,77.413,Critical,Churn risk pressure,reprice at renewal,"Critical priority driven by Churn risk pressure; churn=61.1, quality=19.5, discount=100.0"
CUST000063,Mid-Market,LATAM,Education,enterprise_sales,AM0013,1242.86,0.000131,1,62.853,High,Usage deterioration,17.373,Critical,Weak realized pricing,99.353,Critical,High discount level,23.4,Critical,Low healthy expansion mix,72.178,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=62.9, quality=17.4, discount=99.4"
CUST003812,SMB,EMEA,Retail,self_serve,AM0030,301.55,3.2e-05,1,66.481,High,Usage deterioration,17.971,Critical,Weak realized pricing,94.701,Critical,High discount level,8.208,Critical,Low healthy expansion mix,71.474,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=66.5, quality=18.0, discount=94.7"
CUST004167,Enterprise,APAC,Manufacturing,outbound_sdr,AM0005,17819.01,0.001871,1,47.266,Moderate,Discount pressure,21.003,Critical,Weak realized pricing,99.138,Critical,High discount level,22.6,Critical,Low healthy expansion mix,70.784,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=47.3, quality=21.0, discount=99.1"
CUST003233,SMB,North America,FinTech,self_serve,AM0004,662.3,7e-05,1,71.22,High,Usage deterioration,13.136,Critical,Weak realized pricing,85.0,Critical,High discount level,40.23714285714286,High,No recent expansion signal,70.659,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=71.2, quality=13.1, discount=85.0"
CUST000998,SMB,EMEA,Healthcare,self_serve,AM0025,202.6,2.1e-05,1,71.317,High,Payment stress,8.043,Critical,Weak realized pricing,85.0,Critical,High discount level,37.857142857142854,High,No recent expansion signal,70.614,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=71.3, quality=8.0, discount=85.0"
CUST003615,SMB,EMEA,Retail,self_serve,AM0030,1634.39,0.000172,0,62.626,High,Usage deterioration,18.552,Critical,Weak realized pricing,100.0,Critical,High discount level,1.2,Critical,Low healthy expansion mix,70.189,High,Churn risk pressure,review discount policy,"High priority driven by Churn risk pressure; churn=62.6, quality=18.6, discount=100.0"
CUST001183,SMB,EMEA,Retail,partner_referral,AM0009,520.29,5.5e-05,1,62.159,High,Usage deterioration,20.253,Critical,Weak realized pricing,98.664,Critical,High discount level,22.666,Critical,Low healthy expansion mix,69.92,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=62.2, quality=20.3, discount=98.7"
CUST000766,Enterprise,North America,SaaS,outbound_sdr,AM0032,11911.55,0.001251,0,56.191,High,Usage deterioration,16.015,Critical,Weak realized pricing,100.0,Critical,High discount level,23.0,Critical,Low healthy expansion mix,69.873,High,Churn risk pressure,review discount policy,"High priority driven by Churn risk pressure; churn=56.2, quality=16.0, discount=100.0"
CUST001430,SMB,North America,Healthcare,self_serve,AM0010,322.99,3.4e-05,1,61.119,High,Usage deterioration,14.877,Critical,Weak realized pricing,97.476,Critical,High discount level,23.594,Critical,Low healthy expansion mix,69.688,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=61.1, quality=14.9, discount=97.5"
CUST003912,Mid-Market,North America,Retail,content_marketing,AM0011,3850.28,0.000404,1,60.492,High,Usage deterioration,15.314,Critical,Weak realized pricing,85.0,Critical,High discount level,42.62,High,No recent expansion signal,69.626,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=60.5, quality=15.3, discount=85.0"
CUST000206,SMB,APAC,Retail,outbound_sdr,AM0024,277.81,2.9e-05,1,70.795,High,Usage deterioration,12.358,Critical,Weak realized pricing,85.0,Critical,High discount level,40.23714285714286,High,No recent expansion signal,69.353,High,Churn risk pressure,prepare renewal intervention,"High priority driven by Churn risk pressure; churn=70.8, quality=12.4, discount=85.0"
CUST000612,Mid-Market,EMEA,Logistics,outbound_sdr,AM0009,4197.12,0.000441,1,51.402,Moderate,Usage deterioration,21.491,Critical,Weak realized pricing,99.901,Critical,High discount level,22.6,Critical,Low healthy expansion mix,68.959,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=51.4, quality=21.5, discount=99.9"
CUST001915,Mid-Market,EMEA,Healthcare,enterprise_sales,AM0030,1139.88,0.00012,1,58.916,High,Usage deterioration,23.021,Critical,Weak realized pricing,94.823,Critical,High discount level,28.75,High,Low healthy expansion mix,68.086,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=58.9, quality=23.0, discount=94.8"
CUST001374,Enterprise,North America,Logistics,outbound_sdr,AM0019,10879.32,0.001142,1,47.707,Moderate,Usage deterioration,24.379,Critical,Weak realized pricing,92.359,Critical,High discount level,26.932,High,Low healthy expansion mix,67.861,High,Churn risk pressure,reprice at renewal,"High priority driven by Churn risk pressure; churn=47.7, quality=24.4, discount=92.4"
