customer_id,current_mrr,trailing_3m_usage_avg,trailing_3m_usage_trend,trailing_3m_support_ticket_avg,trailing_3m_nps_avg,trailing_3m_payment_delay_avg,trailing_3m_discount_avg,seat_growth_rate,expansion_frequency,contraction_frequency,churn_history_flag,renewal_due_flag,concentration_weight,tenure_months
CUST000001,7715.83,77.25,12.04,5.0,40.74,15.333,0.2525,0.0758,0.0833,0.0,0,0,0.00081,21
CUST000002,809.25,62.643,-0.11,1.667,11.327,12.667,0.3245,0.0,0.0,0.0,0,0,8.5e-05,8
CUST000003,755.85,83.7,5.27,1.333,52.553,21.333,0.2963,0.0,0.0,0.0,0,1,7.9e-05,48
CUST000004,798.88,56.87,10.145,3.0,7.37,15.0,0.1603,0.0625,0.0,0.0,0,0,8.4e-05,6
CUST000005,851.2,59.84,20.4,1.0,-1.095,22.0,0.1495,0.0,0.0,0.0,0,0,8.9e-05,2
CUST000006,3454.52,94.71,1.2,0.333,78.79,11.333,0.1063,0.0,0.0,0.0,0,0,0.000363,23
CUST000007,0.0,63.283,-0.95,2.0,20.597,15.333,0.1562,0.0,0.0,0.0,1,0,0.0,46
CUST000008,5010.2,88.0,-0.345,2.0,65.827,4.0,0.1707,0.0,0.0,0.0,0,1,0.000526,48
CUST000009,613.2,76.4,12.145,1.333,37.197,15.0,0.1951,0.0,0.0,0.0,0,0,6.4e-05,7
CUST000010,0.0,45.52,1.84,3.333,-19.337,18.333,0.3497,0.0909,0.0,0.0,1,0,0.0,51
CUST000011,466.54,80.923,-1.19,0.667,46.997,11.333,0.1261,0.0,0.0833,0.0,0,0,4.9e-05,13
CUST000012,0.0,76.773,-9.135,1.0,41.78,18.0,0.1959,0.0,0.0,0.0,1,0,0.0,21
CUST000013,898.8,73.627,1.65,0.667,39.16,12.667,0.2074,0.0,0.0,0.0,0,1,9.4e-05,9
CUST000014,2699.57,62.54,-2.36,2.667,30.813,8.0,0.2333,0.0,0.0,0.0,0,0,0.000283,13
CUST000015,1025.57,67.603,-2.34,1.667,24.863,12.333,0.1765,0.2222,0.1667,0.0,0,0,0.000108,16
CUST000016,0.0,74.113,-1.07,1.333,32.733,13.0,0.0714,0.0,0.0,0.0,1,0,0.0,32
CUST000017,613.2,81.44,-0.95,2.667,64.613,9.667,0.2448,0.0,0.0,0.0,0,0,6.4e-05,20
CUST000018,292.5,98.213,-0.0,0.0,86.94,7.333,0.1937,0.0,0.0,0.0,0,0,3.1e-05,20
CUST000019,14847.93,96.007,3.98,6.0,81.953,11.0,0.1799,0.0504,0.25,0.0,0,1,0.001559,54
CUST000020,13079.11,88.69,5.785,10.0,52.783,8.0,0.2368,0.0,0.0,0.0,0,0,0.001373,11
CUST000021,368.57,84.673,13.83,1.333,55.093,14.0,0.1139,0.0,0.0,0.0,0,0,3.9e-05,31
CUST000022,0.0,74.463,-2.765,2.0,37.5,12.333,0.0982,0.0,0.0,0.0,1,0,0.0,43
CUST000023,2142.34,83.14,8.245,1.333,56.333,14.0,0.1266,-0.1803,0.0833,0.0833,0,0,0.000225,17
CUST000024,11999.01,93.283,6.815,6.0,73.077,9.0,0.1479,0.0,0.0833,0.0,0,0,0.00126,19
CUST000025,425.73,71.693,2.04,1.667,32.23,18.0,0.0136,0.1429,0.0833,0.0,0,1,4.5e-05,51
CUST000026,380.94,73.99,-6.065,1.667,30.93,18.0,0.2841,0.0,0.0,0.0,0,1,4e-05,30
CUST000027,0.0,69.833,-2.67,2.0,28.927,18.333,0.2866,0.0,0.0,0.0,1,0,0.0,55
CUST000028,0.0,82.327,2.425,0.0,54.183,17.667,0.0558,0.0,0.0,0.0,1,0,0.0,49
CUST000029,1617.98,83.88,1.935,0.667,53.717,17.0,0.2526,0.0,0.25,0.0,0,1,0.00017,12
CUST000030,1575.19,75.793,-3.215,2.667,42.317,14.0,0.1316,0.0,0.1818,0.0,0,0,0.000165,11
CUST000031,505.0,52.553,3.1,2.333,3.677,16.0,0.1841,0.2222,0.0,0.0,0,0,5.3e-05,6
CUST000032,1768.97,95.36,4.47,0.333,81.557,9.667,0.1788,0.0,0.0,0.0,0,1,0.000186,51
CUST000033,1054.08,96.183,5.725,0.0,87.55,8.333,0.1766,0.0417,0.1667,0.0,0,1,0.000111,53
CUST000034,0.0,79.923,0.725,0.333,46.66,14.0,0.0658,0.0,0.0,0.0,1,0,0.0,15
CUST000035,2760.3,84.113,1.13,2.667,52.083,12.333,0.2542,0.0962,0.0833,0.0,0,1,0.00029,48
CUST000036,377.5,81.877,3.8,0.333,43.797,14.667,0.2002,0.0,0.0,0.0,0,0,4e-05,23
CUST000037,422.8,62.177,4.07,1.333,22.367,16.333,0.1265,0.0,0.0,0.0,0,1,4.4e-05,9
CUST000038,327.6,85.423,1.45,0.0,59.357,5.667,0.2078,0.0,0.0,0.0,0,0,3.4e-05,14
CUST000039,0.0,73.393,-10.065,2.0,33.357,14.333,0.1481,0.0,0.0,0.0,1,0,0.0,39
CUST000040,8787.25,79.133,-2.1,5.333,58.65,8.0,0.1435,0.0,0.0,0.0,0,0,0.000923,20
CUST000041,309.56,81.787,-0.325,1.667,62.137,17.0,0.1045,0.0,0.0,0.0833,0,0,3.3e-05,28
CUST000042,1041.65,72.207,1.58,3.0,28.923,15.667,0.1872,0.0,0.0,0.0,0,0,0.000109,31
CUST000043,1041.65,66.3,-1.655,2.0,23.613,20.333,0.1352,0.0,0.0,0.0,0,0,0.000109,17
CUST000044,643.94,78.497,2.02,1.667,49.767,16.667,0.1297,0.0,0.0,0.0,0,1,6.8e-05,46
CUST000045,426.99,75.917,13.72,1.333,42.543,11.0,0.0473,0.1429,0.0833,0.0,0,1,4.5e-05,15
CUST000046,1071.32,70.413,12.725,1.667,42.863,15.333,0.2577,0.0,0.0833,0.0,0,0,0.000112,28
