experiment_id,assignment_id,customer_id,assignment_month,assignment_group,intervention_type,account_manager_id,segment,risk_band,pre_risk_score,baseline_mrr,intervention_cost,assignment_probability,end_mrr,churn_within_followup,outcome_month,logo_retained,gross_retained_mrr,gross_mrr_retention,net_mrr_retention
retention_outreach_2025q4,ASG-00193a05bf243937,CUST001574,2025-11-01,control,no_action_control,AM0033,SMB,B1,21.771568,237.5,0.0,0.5,237.5,0,2026-02-01,1,237.5,1.0,1.0
retention_outreach_2025q4,ASG-001ea9bf493dfe4a,CUST003115,2025-11-01,treatment,success_plan_outreach,AM0005,SMB,B3,30.401929,292.5,350.0,0.5,326.5,0,2026-02-01,1,292.5,1.0,1.1162393162393163
retention_outreach_2025q4,ASG-00489e9e4fadc1d8,CUST001532,2025-11-01,treatment,success_plan_outreach,AM0035,SMB,B1,23.8225,280.0,350.0,0.5,280.0,0,2026-02-01,1,280.0,1.0,1.0
retention_outreach_2025q4,ASG-0094e4f67f3db9df,CUST001759,2025-11-01,treatment,success_plan_outreach,AM0008,Mid-Market,B3,29.914919,1272.03,900.0,0.5,1272.03,0,2026-02-01,1,1272.03,1.0,1.0
retention_outreach_2025q4,ASG-00a0cae3ea22f2ce,CUST002791,2025-11-01,control,no_action_control,AM0024,SMB,B2,26.228733,292.65,0.0,0.5,292.65,0,2026-02-01,1,292.65,1.0,1.0
retention_outreach_2025q4,ASG-00b96ac867dc3f65,CUST001445,2025-11-01,control,no_action_control,AM0019,Enterprise,B3,29.107063,6153.97,0.0,0.5,6153.97,0,2026-02-01,1,6153.97,1.0,1.0
retention_outreach_2025q4,ASG-00e74aa13337e448,CUST003471,2025-11-01,treatment,success_plan_outreach,AM0018,Enterprise,B1,18.78758,20807.52,2500.0,0.5,20807.52,0,2026-02-01,1,20807.52,1.0,1.0
retention_outreach_2025q4,ASG-011355680ff9a163,CUST000756,2025-11-01,control,no_action_control,AM0010,SMB,B4,39.318168,335.0,0.0,0.5,335.0,0,2026-02-01,1,335.0,1.0,1.0
retention_outreach_2025q4,ASG-0121ef8045a092c7,CUST003352,2025-11-01,control,no_action_control,AM0015,Mid-Market,B3,30.817648,1923.52,0.0,0.5,2042.91,0,2026-02-01,1,1923.52,1.0,1.0620684994177343
retention_outreach_2025q4,ASG-0122ab5f3bd6fd92,CUST002772,2025-11-01,treatment,success_plan_outreach,AM0038,Mid-Market,B3,29.048639,3477.28,900.0,0.5,3477.28,0,2026-02-01,1,3477.28,1.0,1.0
retention_outreach_2025q4,ASG-0134c639493d95d0,CUST003259,2025-11-01,treatment,success_plan_outreach,AM0024,SMB,B4,34.869096,973.08,350.0,0.5,973.08,0,2026-02-01,1,973.08,1.0,1.0
retention_outreach_2025q4,ASG-013b6a303113a997,CUST002873,2025-11-01,treatment,success_plan_outreach,AM0020,SMB,B3,33.948566,518.0,350.0,0.5,518.0,0,2026-02-01,1,518.0,1.0,1.0
retention_outreach_2025q4,ASG-0148afc766a31de4,CUST001990,2025-11-01,treatment,success_plan_outreach,AM0009,Mid-Market,B3,29.317951,1151.88,900.0,0.5,1151.88,0,2026-02-01,1,1151.88,1.0,1.0
retention_outreach_2025q4,ASG-01581aa138b8e40b,CUST004486,2025-11-01,treatment,success_plan_outreach,AM0003,SMB,B3,32.462357,565.6,350.0,0.5,565.6,1,2026-02-01,1,565.6,1.0,1.0
retention_outreach_2025q4,ASG-015c6ab807b540ae,CUST003450,2025-11-01,treatment,success_plan_outreach,AM0015,SMB,B1,18.725806,582.83,350.0,0.5,582.83,0,2026-02-01,1,582.83,1.0,1.0
retention_outreach_2025q4,ASG-015da3a7faa4a56b,CUST003893,2025-11-01,treatment,success_plan_outreach,AM0015,Mid-Market,B1,21.287159,2023.83,900.0,0.5,2023.83,0,2026-02-01,1,2023.83,1.0,1.0
retention_outreach_2025q4,ASG-018eb19fbba77307,CUST000612,2025-11-01,treatment,success_plan_outreach,AM0009,Mid-Market,B4,51.932947,3531.38,900.0,0.5,4197.12,0,2026-02-01,1,3531.38,1.0,1.1885212013433841
retention_outreach_2025q4,ASG-020dd00b7799a182,CUST001100,2025-11-01,control,no_action_control,AM0011,SMB,B2,28.843324,292.5,0.0,0.5,292.5,0,2026-02-01,1,292.5,1.0,1.0
retention_outreach_2025q4,ASG-023e8aedc9cc0c06,CUST000250,2025-11-01,control,no_action_control,AM0014,SMB,B3,32.356749,327.73,0.0,0.5,0.0,0,2026-02-01,0,0.0,0.0,0.0
retention_outreach_2025q4,ASG-024370b163f0baad,CUST004212,2025-11-01,treatment,success_plan_outreach,AM0021,SMB,B2,24.52414,1660.3,350.0,0.5,1660.3,0,2026-02-01,1,1660.3,1.0,1.0
retention_outreach_2025q4,ASG-024431ce5b7f1a83,CUST000919,2025-11-01,control,no_action_control,AM0028,Mid-Market,B3,28.830463,3263.0,0.0,0.5,3263.0,0,2026-02-01,1,3263.0,1.0,1.0
retention_outreach_2025q4,ASG-0291a81350fcc29c,CUST003658,2025-11-01,control,no_action_control,AM0021,SMB,B2,27.022256,825.48,0.0,0.5,825.48,0,2026-02-01,1,825.48,1.0,1.0
retention_outreach_2025q4,ASG-029cd09330e47c70,CUST000851,2025-11-01,control,no_action_control,AM0025,SMB,B4,35.075322,1178.1,0.0,0.5,1178.1,0,2026-02-01,1,1178.1,1.0,1.0
retention_outreach_2025q4,ASG-02b0c01b29a2c047,CUST002336,2025-11-01,control,no_action_control,AM0014,Mid-Market,B3,30.606327,900.55,0.0,0.5,900.55,0,2026-02-01,1,900.55,1.0,1.0
retention_outreach_2025q4,ASG-02d656770ed229ed,CUST001493,2025-11-01,control,no_action_control,AM0010,SMB,B3,33.925665,587.93,0.0,0.5,685.29,0,2026-02-01,1,587.93,1.0,1.1655979453336283
retention_outreach_2025q4,ASG-033a254dd51068a1,CUST002752,2025-11-01,control,no_action_control,AM0014,SMB,B2,29.278096,902.5,0.0,0.5,902.5,0,2026-02-01,1,902.5,1.0,1.0
retention_outreach_2025q4,ASG-034baf8beb864995,CUST001370,2025-11-01,treatment,success_plan_outreach,AM0035,SMB,B4,34.807409,1422.38,350.0,0.5,1422.38,0,2026-02-01,1,1422.38,1.0,1.0
retention_outreach_2025q4,ASG-0354ab1040edea88,CUST000408,2025-11-01,treatment,success_plan_outreach,AM0034,SMB,B4,34.432935,798.88,350.0,0.5,726.7,0,2026-02-01,1,726.7,0.9096485079110755,0.9096485079110755
retention_outreach_2025q4,ASG-03570e0754837b93,CUST001834,2025-11-01,treatment,success_plan_outreach,AM0022,Mid-Market,B4,42.35423,1865.39,900.0,0.5,1865.39,0,2026-02-01,1,1865.39,1.0,1.0
retention_outreach_2025q4,ASG-035bba608bb9b52e,CUST003335,2025-11-01,treatment,success_plan_outreach,AM0006,SMB,B1,20.101855,332.04,350.0,0.5,332.04,0,2026-02-01,1,332.04,1.0,1.0
retention_outreach_2025q4,ASG-03c47c6bee41d12c,CUST003399,2025-11-01,treatment,success_plan_outreach,AM0014,Enterprise,B4,44.682737,14990.47,2500.0,0.5,14990.47,0,2026-02-01,1,14990.47,1.0,1.0
retention_outreach_2025q4,ASG-03cf853e7dc95ec4,CUST003154,2025-11-01,treatment,success_plan_outreach,AM0029,SMB,B3,31.475909,518.69,350.0,0.5,518.69,0,2026-02-01,1,518.69,1.0,1.0
retention_outreach_2025q4,ASG-0439de48b471b693,CUST002080,2025-11-01,treatment,success_plan_outreach,AM0010,Mid-Market,B4,33.887679,809.25,900.0,0.5,809.25,0,2026-02-01,1,809.25,1.0,1.0
retention_outreach_2025q4,ASG-044ca859662cd138,CUST002741,2025-11-01,control,no_action_control,AM0003,SMB,B4,34.591481,547.5,0.0,0.5,675.05,0,2026-02-01,1,547.5,1.0,1.2329680365296802
retention_outreach_2025q4,ASG-04742e3015aa7ea3,CUST001897,2025-11-01,treatment,success_plan_outreach,AM0027,SMB,B2,29.997056,644.08,350.0,0.5,0.0,1,2026-02-01,0,0.0,0.0,0.0
retention_outreach_2025q4,ASG-047c2fd9546e9e48,CUST003911,2025-11-01,treatment,success_plan_outreach,AM0018,Enterprise,B2,24.297966,8432.53,2500.0,0.5,9400.85,0,2026-02-01,1,8432.53,1.0,1.1148314918535718
retention_outreach_2025q4,ASG-0480ccb8524d60bf,CUST001953,2025-11-01,control,no_action_control,AM0022,SMB,B2,27.669778,1049.67,0.0,0.5,1049.67,0,2026-02-01,1,1049.67,1.0,1.0
retention_outreach_2025q4,ASG-04d1e32192416bd3,CUST002778,2025-11-01,control,no_action_control,AM0035,SMB,B4,38.619585,613.2,0.0,0.5,561.44,0,2026-02-01,1,561.44,0.915590345727332,0.915590345727332
retention_outreach_2025q4,ASG-04eaafe07a14de7d,CUST003001,2025-11-01,control,no_action_control,AM0010,Enterprise,B4,31.936014,11474.94,0.0,0.5,11474.94,0,2026-02-01,1,11474.94,1.0,1.0
retention_outreach_2025q4,ASG-0511a8c8d3c20333,CUST000926,2025-11-01,treatment,success_plan_outreach,AM0005,SMB,B2,27.079739,553.4,350.0,0.5,553.4,0,2026-02-01,1,553.4,1.0,1.0
retention_outreach_2025q4,ASG-0525c5aff2f615b6,CUST002417,2025-11-01,control,no_action_control,AM0024,Enterprise,B1,18.081131,2081.63,0.0,0.5,2081.63,0,2026-02-01,1,2081.63,1.0,1.0
retention_outreach_2025q4,ASG-052c393d369736ad,CUST001124,2025-11-01,treatment,success_plan_outreach,AM0008,SMB,B4,60.021618,497.06,350.0,0.5,497.06,0,2026-02-01,1,497.06,1.0,1.0
retention_outreach_2025q4,ASG-0541953570ffd029,CUST003709,2025-11-01,control,no_action_control,AM0014,SMB,B4,49.801837,280.0,0.0,0.5,280.0,0,2026-02-01,1,280.0,1.0,1.0
retention_outreach_2025q4,ASG-054f4948969206c5,CUST003082,2025-11-01,control,no_action_control,AM0035,Mid-Market,B1,20.490108,1101.15,0.0,0.5,1101.15,0,2026-02-01,1,1101.15,1.0,1.0
retention_outreach_2025q4,ASG-0556d9fc48e2655c,CUST001533,2025-11-01,treatment,success_plan_outreach,AM0006,SMB,B3,34.206275,1376.72,350.0,0.5,1376.72,0,2026-02-01,1,1376.72,1.0,1.0
retention_outreach_2025q4,ASG-05a4e9dc7ae5407b,CUST003766,2025-11-01,treatment,success_plan_outreach,AM0018,Mid-Market,B1,21.725865,2410.41,900.0,0.5,2410.41,0,2026-02-01,1,2410.41,1.0,1.0
