origin_month,target_month,horizon_month,training_months,actual_mrr,p05,p10,p50,p90,p95,error,absolute_error,absolute_percentage_error,covered_80,covered_90
2024-03-01,2024-04-01,1,12,5843660.01,5751347.203157013,5768508.8751255805,5828210.647253966,5914986.344611355,5934895.614033064,-15449.362746033818,15449.362746033818,0.0026437819311178265,1,1
2024-03-01,2024-05-01,2,12,6046317.29,5851921.5380840935,5877747.9717177795,5988542.676964534,6081974.232239999,6101479.128168859,-57774.61303546559,57774.61303546559,0.009555339269247246,1,1
2024-03-01,2024-06-01,3,12,6227013.16,5961968.191586321,5997128.930508667,6140043.712215755,6276604.554837689,6309872.564486506,-86969.44778424501,86969.44778424501,0.01396647887993945,1,1
2024-03-01,2024-07-01,4,12,6429506.23,6042627.369492752,6088054.803935908,6287744.186735916,6473562.223403195,6521786.983234082,-141762.0432640845,141762.0432640845,0.02204866722153942,1,1
2024-03-01,2024-08-01,5,12,6614998.61,6128379.069255414,6178541.531632693,6431716.031038504,6671882.321097827,6723128.997365659,-183282.57896149624,183282.57896149624,0.02770712282303809,1,1
2024-03-01,2024-09-01,6,12,6813849.57,6196912.5198349655,6275518.427207901,6577823.802725231,6874842.096184406,6949888.287671413,-236025.76727476902,236025.76727476902,0.034639122107118815,1,1
2024-04-01,2024-05-01,1,13,6046317.29,5909224.853778443,5926469.943948994,5996914.388594371,6068078.256709394,6083286.3882529065,-49402.90140562877,49402.90140562877,0.008170742459602013,1,1
2024-04-01,2024-06-01,2,13,6227013.16,6022312.384988854,6047607.036782204,6159752.118038461,6250939.082917334,6267128.729602663,-67261.04196153954,67261.04196153954,0.010801493466177215,1,1
2024-04-01,2024-07-01,3,13,6429506.23,6120916.859033192,6155685.128013393,6305107.339344345,6454474.605016044,6494814.400934413,-124398.89065565541,124398.89065565541,0.01934812506677599,1,1
2024-04-01,2024-08-01,4,13,6614998.61,6203018.535481716,6256211.629750949,6447760.5433973335,6643436.972736636,6694782.694352817,-167238.06660266686,167238.06660266686,0.025281648033886262,1,1
2024-04-01,2024-09-01,5,13,6813849.57,6288288.24133735,6352509.876399487,6593114.364556012,6854375.362270274,6912690.586801895,-220735.20544398855,220735.20544398855,0.03239508051598922,1,1
2024-04-01,2024-10-01,6,13,6995317.79,6335546.072419298,6427556.406735708,6728613.088398496,7069399.435548903,7145188.58395044,-266704.70160150435,266704.70160150435,0.03812617376479537,1,1
2024-05-01,2024-06-01,1,14,6227013.16,6122908.850377564,6138436.641345411,6217786.6163536,6271059.707874014,6293994.461180168,-9226.543646399863,9226.543646399863,0.001481696506708501,1,1
2024-05-01,2024-07-01,2,14,6429506.23,6234062.226708841,6266331.505591544,6378758.2929613255,6484368.657877211,6511077.981367055,-50747.93703867495,50747.93703867495,0.007892975793675363,1,1
2024-05-01,2024-08-01,3,14,6614998.61,6342567.496600119,6386975.10775511,6542036.788842521,6672846.317002468,6697765.823498554,-72961.82115747966,72961.82115747966,0.011029756082969102,1,1
2024-05-01,2024-09-01,4,14,6813849.57,6445967.909156153,6503263.73141843,6700344.756944567,6875945.620432958,6915697.077681998,-113504.81305543333,113504.81305543333,0.01665795698736468,1,1
2024-05-01,2024-10-01,5,14,6995317.79,6544855.760369363,6622562.969123633,6860061.430418365,7087639.631077506,7152708.449679596,-135256.35958163533,135256.35958163533,0.019335270196729024,1,1
2024-05-01,2024-11-01,6,14,7206526.64,6623105.615419386,6715167.877818199,7009106.938404002,7295809.325983711,7362842.103548988,-197419.70159599744,197419.70159599744,0.02739457043011742,1,1
2024-06-01,2024-07-01,1,15,6429506.23,6302409.708465941,6320646.61935124,6392050.497983429,6472313.88350725,6492683.332658531,-37455.7320165718,37455.7320165718,0.00582560008135676,1,1
2024-06-01,2024-08-01,2,15,6614998.61,6424462.652265225,6454225.301301285,6564329.874534486,6651835.233748879,6671786.128666039,-50668.73546551447,50668.73546551447,0.007659674393418274,1,1
2024-06-01,2024-09-01,3,15,6813849.57,6557552.50199928,6593144.636322065,6728304.4623738155,6859708.092890411,6883947.890021344,-85545.10762618482,85545.10762618482,0.012554592928323895,1,1
2024-06-01,2024-10-01,4,15,6995317.79,6653253.811084588,6708413.771728682,6895668.554586214,7067005.102003876,7118793.169191842,-99649.23541378602,99649.23541378602,0.014245133445722417,1,1
2024-06-01,2024-11-01,5,15,7206526.64,6760583.1797687,6825055.348781155,7051340.414969864,7272582.764937462,7325921.673637168,-155186.22503013536,155186.22503013536,0.02153412216209269,1,1
2024-06-01,2024-12-01,6,15,7301048.12,6854086.818527837,6935314.709913995,7214954.833560917,7482239.917564173,7558845.112732815,-86093.28643908352,86093.28643908352,0.011791907822555691,1,1
2024-07-01,2024-08-01,1,16,6614998.61,6510853.614524969,6540551.054486987,6603914.994914316,6660393.838822871,6690995.109777022,-11083.615085684694,11083.615085684694,0.0016755279538425622,1,1
2024-07-01,2024-09-01,2,16,6813849.57,6645706.644966836,6672361.2114484,6795471.174865686,6862772.8034963915,6877224.688191395,-18378.395134313963,18378.395134313963,0.002697211751669763,1,1
2024-07-01,2024-10-01,3,16,6995317.79,6773717.508563711,6816317.678885749,6962152.056120354,7093760.42077022,7123480.9842009,-33165.73387964629,33165.73387964629,0.004741133265890739,1,1
2024-07-01,2024-11-01,4,16,7206526.64,6897081.2659272365,6946422.797912807,7136443.334861285,7304348.65521219,7341540.247850553,-70083.30513871461,70083.30513871461,0.009724976904923315,1,1
2024-07-01,2024-12-01,5,16,7301048.12,7016713.242802095,7075722.620311002,7316368.501232246,7527014.4527966045,7580548.554440531,15320.381232245825,15320.381232245825,0.0020983810790505823,1,1
2024-07-01,2025-01-01,6,16,7510605.94,7115682.496180151,7193433.0804719925,7484417.759231271,7761068.967856444,7829932.932784662,-26188.180768729188,26188.180768729188,0.003486826625965839,1,1
2024-08-01,2024-09-01,1,17,6813849.57,6693589.657059343,6716421.588020582,6800004.5420058975,6841249.346068339,6880510.907053786,-13845.027994102798,13845.027994102798,0.0020318951646745554,1,1
2024-08-01,2024-10-01,2,17,6995317.79,6827192.28986352,6857792.324604901,6969394.783429271,7071387.324131948,7097015.796808322,-25923.006570729427,25923.006570729427,0.0037057653917863575,1,1
2024-08-01,2024-11-01,3,17,7206526.64,6958542.684868698,6996963.837335781,7154325.662289461,7268542.567798604,7296445.446904792,-52200.977710538544,52200.977710538544,0.007243569658203407,1,1
2024-08-01,2024-12-01,4,17,7301048.12,7090694.818573503,7139203.6862562345,7330626.917514926,7481449.732340345,7514700.520322544,29578.79751492571,29578.79751492571,0.004051308391448557,1,1
2024-08-01,2025-01-01,5,17,7510605.94,7205552.190955672,7264756.105235888,7505931.702993641,7704301.848686531,7760303.971380703,-4674.237006359734,4674.237006359734,0.0006223515178004045,1,1
2024-08-01,2025-02-01,6,17,7647206.26,7318497.85777188,7399430.148985542,7681269.098610761,7921297.587615458,7983351.405431627,34062.83861076087,34062.83861076087,0.004454285323639337,1,1
2024-09-01,2024-10-01,1,18,6995317.79,6900874.3934346335,6931813.607336381,6997426.538243583,7070973.165983837,7096984.7364816405,2108.7482435833663,2108.7482435833663,0.0003014513860396564,1,1
2024-09-01,2024-11-01,2,18,7206526.64,7028339.075649067,7062973.1942192055,7190826.3105320055,7259549.096754983,7277389.3465783335,-15700.329467994161,15700.329467994161,0.0021786264385465675,1,1
2024-09-01,2024-12-01,3,18,7301048.12,7172146.788192149,7215393.416984768,7369436.080099615,7475425.509037909,7500179.962808066,68387.96009961516,68387.96009961516,0.009366868835212547,1,1
2024-09-01,2025-01-01,4,18,7510605.94,7298284.2220937,7360516.428259876,7549262.898840811,7701806.681821115,7751890.524291076,38656.958840810694,38656.958840810694,0.005146982700148251,1,1
2024-09-01,2025-02-01,5,18,7647206.26,7422501.422834344,7501006.095610801,7731907.438939996,7919310.1577574145,7969143.195765826,84701.17893999629,84701.17893999629,0.011076094466424958,1,1
2024-09-01,2025-03-01,6,18,7866843.44,7550577.81781862,7636371.753114644,7913955.832739733,8144107.963727906,8205956.41688576,47112.39273973275,47112.39273973275,0.005988728910020453,1,1
2024-10-01,2024-11-01,1,18,7206526.64,7095660.288494345,7136061.461304688,7193125.304447521,7250057.759046283,7302443.409078618,-13401.33555247821,13401.33555247821,0.0018596109085469515,1,1
2024-10-01,2024-12-01,2,18,7301048.12,7244001.798642044,7289386.762751322,7407273.088931168,7482915.552066089,7505439.3660372915,106224.96893116832,106224.96893116832,0.014549276649770706,1,1
2024-10-01,2025-01-01,3,18,7510605.94,7427323.136665796,7464483.418012079,7607513.941414199,7721621.1213531885,7755720.416202342,96908.00141419843,96908.00141419843,0.012902820649674296,1,1
