forecast_month,horizon_month,start_mrr,p05,p10,p50,p90,p95,p80_interval_width,p90_interval_width,training_months,lookback_months,simulation_count,block_length,method
2026-03-01,1,9523589.88,9524661.399046142,9557032.575532345,9649571.940374749,9714751.628593389,9727780.853307003,157719.05306104384,203119.4542608615,35,18,2000,3,local_trend_residual_block_bootstrap
2026-04-01,2,9523589.88,9609763.258114805,9640495.597075699,9756381.377938583,9856044.74936086,9880474.001104599,215549.1522851605,270710.7429897934,35,18,2000,3,local_trend_residual_block_bootstrap
2026-05-01,3,9523589.88,9645323.024477221,9684677.818534045,9849414.77211683,10008432.50807517,10047220.231666282,323754.68954112567,401897.20718906075,35,18,2000,3,local_trend_residual_block_bootstrap
2026-06-01,4,9523589.88,9670056.091399722,9723056.081313003,9939706.895713236,10146209.034219136,10199260.185625192,423152.9529061336,529204.09422547,35,18,2000,3,local_trend_residual_block_bootstrap
2026-07-01,5,9523589.88,9702778.192821492,9768054.501578761,10020980.026614401,10276383.130940648,10334619.912192887,508328.62936188653,631841.7193713952,35,18,2000,3,local_trend_residual_block_bootstrap
2026-08-01,6,9523589.88,9692094.28349625,9786061.900346812,10092465.732166905,10401102.803572439,10482029.5958938,615040.9032256268,789935.3123975508,35,18,2000,3,local_trend_residual_block_bootstrap
2026-09-01,7,9523589.88,9686360.02577221,9786507.730895197,10159581.752824077,10515606.024404146,10613562.446059063,729098.2935089488,927202.4202868529,35,18,2000,3,local_trend_residual_block_bootstrap
2026-10-01,8,9523589.88,9672601.551383056,9789249.035563024,10213429.38066305,10629517.345885646,10735562.191185182,840268.3103226218,1062960.6398021262,35,18,2000,3,local_trend_residual_block_bootstrap
2026-11-01,9,9523589.88,9627336.691127919,9761791.43183362,10254806.550472617,10726296.646631353,10857156.697136022,964505.2147977334,1229820.0060081035,35,18,2000,3,local_trend_residual_block_bootstrap
2026-12-01,10,9523589.88,9581896.482637739,9729632.019217266,10293032.043007882,10829070.1583819,10967473.199385947,1099438.139164634,1385576.7167482078,35,18,2000,3,local_trend_residual_block_bootstrap
2027-01-01,11,9523589.88,9541734.707580611,9705177.503510622,10320253.301303757,10921823.502993843,11089638.01539645,1216645.9994832203,1547903.3078158386,35,18,2000,3,local_trend_residual_block_bootstrap
2027-02-01,12,9523589.88,9476381.391843438,9634590.530000065,10342686.330320694,11009213.322108377,11202411.632034326,1374622.7921083122,1726030.2401908878,35,18,2000,3,local_trend_residual_block_bootstrap
