customer_id,signup_date,region,segment,company_size,industry,acquisition_channel,account_manager_id,lifecycle_stage
CUST000001,2024-06-01,LATAM,Enterprise,5000+,Manufacturing,partner_referral,AM0028,Active
CUST000002,2025-07-01,North America,SMB,21-50,Media,outbound_sdr,AM0034,Active
CUST000003,2022-03-01,North America,SMB,21-50,Manufacturing,partner_referral,AM0029,Renewing Soon
CUST000004,2025-09-01,EMEA,SMB,1-20,Education,self_serve,AM0025,Active
CUST000005,2026-01-01,North America,SMB,1-20,Healthcare,self_serve,AM0007,Onboarding
CUST000006,2024-04-01,APAC,Mid-Market,201-500,Retail,enterprise_sales,AM0005,Active
CUST000007,2022-05-01,APAC,SMB,1-20,Media,content_marketing,AM0024,Churned
CUST000008,2022-03-01,North America,Enterprise,501-1000,Retail,outbound_sdr,AM0031,Renewing Soon
CUST000009,2025-08-01,LATAM,SMB,1-20,Education,partner_referral,AM0008,Active
CUST000010,2021-12-01,North America,SMB,1-20,Logistics,content_marketing,AM0029,Churned
CUST000011,2025-02-01,EMEA,SMB,21-50,Media,content_marketing,AM0001,Active
CUST000012,2024-06-01,North America,SMB,1-20,FinTech,outbound_sdr,AM0034,Churned
CUST000013,2025-06-01,LATAM,SMB,1-20,FinTech,outbound_sdr,AM0002,Renewing Soon
CUST000014,2025-02-01,North America,Mid-Market,501-1000,Manufacturing,partner_referral,AM0035,Active
CUST000015,2024-11-01,North America,SMB,51-200,Media,self_serve,AM0010,Active
CUST000016,2023-07-01,EMEA,SMB,1-20,Manufacturing,self_serve,AM0015,Churned
CUST000017,2024-07-01,LATAM,SMB,1-20,Healthcare,paid_media,AM0038,Active
CUST000018,2024-07-01,APAC,SMB,21-50,Manufacturing,partner_referral,AM0033,Active
CUST000019,2021-09-01,APAC,Enterprise,501-1000,SaaS,outbound_sdr,AM0006,Renewing Soon
CUST000020,2025-04-01,APAC,Enterprise,1001-5000,SaaS,enterprise_sales,AM0005,Active
CUST000021,2023-08-01,APAC,SMB,1-20,SaaS,self_serve,AM0002,Active
CUST000022,2022-08-01,EMEA,Mid-Market,201-500,SaaS,partner_referral,AM0018,Churned
CUST000023,2024-10-01,North America,Mid-Market,501-1000,Education,paid_media,AM0029,Active
CUST000024,2024-08-01,APAC,Enterprise,5000+,Healthcare,partner_referral,AM0013,Active
CUST000025,2021-12-01,EMEA,SMB,51-200,SaaS,self_serve,AM0038,Renewing Soon
CUST000026,2023-09-01,North America,SMB,21-50,Manufacturing,paid_media,AM0034,Renewing Soon
CUST000027,2021-08-01,North America,SMB,21-50,Healthcare,paid_media,AM0011,Churned
CUST000028,2022-02-01,APAC,Mid-Market,501-1000,Healthcare,content_marketing,AM0040,Churned
CUST000029,2025-03-01,North America,Mid-Market,201-500,Healthcare,paid_media,AM0020,Renewing Soon
