weight,direction,factor,new_weight,tier_flips,tier_flip_pct,mean_score_delta,max_score_delta
exposure_concentration,down,-0.2,0.1667,239,0.053111,-0.4923,2.343
churn_risk,down,-0.2,0.2735,212,0.047111,0.9722,2.523
exposure_concentration,up,0.2,0.2308,205,0.045556,0.4544,2.163
churn_risk,up,0.2,0.3609,202,0.044889,-0.8552,2.22
revenue_quality_risk,up,0.2,0.2085,140,0.031111,0.4955,1.997
revenue_quality_risk,down,-0.2,0.1494,131,0.029111,-0.5325,2.145
discount_dependency,down,-0.2,0.1237,104,0.023111,0.2441,1.563
discount_dependency,up,0.2,0.1748,93,0.020667,-0.2299,1.473
expansion_fragility,down,-0.2,0.0816,75,0.016667,-0.2576,0.955
expansion_fragility,up,0.2,0.1176,69,0.015333,0.2475,0.917
renewal_urgency,up,0.2,0.0594,59,0.013111,-0.0907,0.695
renewal_urgency,down,-0.2,0.0404,51,0.011333,0.0925,0.709
